Track ID,Track Type,Related Real Track
HDB/T144,Axle Counter Track,
HDB/T148,Axle Counter Track,
HDB/T152,Axle Counter Track,
HDB/T153,Axle Counter Track,
HDB/T411,Axle Counter Track,
HDB/T418,Axle Counter Track,
HDB/T434,Axle Counter Track,
HDB/TS369,Axle Counter Track,
HDB/TS375,Axle Counter Track,
HDB/TS376,Axle Counter Track,
HDB/TS381,Axle Counter Track,
HDB/TS384,Axle Counter Track,
HDB/TS396,Axle Counter Track,
HDB/TS435,Axle Counter Track,
HDB/TS444,Axle Counter Track,
HDB/TS445,Axle Counter Track,
HDB/TS449,Axle Counter Track,
HDB/TS450,Axle Counter Track,
HDB/TS454,Axle Counter Track,
HDB/TS457,Axle Counter Track,
HDB/TS461,Axle Counter Track,
HDB/TS468,Axle Counter Track,
HDB/TS469,Axle Counter Track,
HDB/TS475,Axle Counter Track,
HDB/TS476,Axle Counter Track,
HDB/TS479,Axle Counter Track,
HDB/TS488,Axle Counter Track,
HDB/TS259,Axle Counter Track,
HDB/TS262,Axle Counter Track,
HDB/TS263,Axle Counter Track,
HDB/TS269,Axle Counter Track,
HDB/TS275,Axle Counter Track,
HDB/TS278,Axle Counter Track,
HDB/TS283,Axle Counter Track,
HDB/TS284,Axle Counter Track,
HDB/TS292,Axle Counter Track,
HDB/TS293,Axle Counter Track,
HDB/TS299,Axle Counter Track,
HDB/TS300,Axle Counter Track,
MDD/T164,Axle Counter Track,
MDD/T165,Axle Counter Track,
MDD/T163,Axle Counter Track,
MDD/T161,Axle Counter Track,
MDD/T069,Axle Counter Track,
MDD/T065,Axle Counter Track,
MDD/T061,Axle Counter Track,
MDD/T063,Axle Counter Track,
MDD/TT976,Axle Counter Track,
MDD/TT964,Axle Counter Track,
MDD/TT954,Axle Counter Track,
MDD/TT938,Axle Counter Track,
MDD/TT930,Axle Counter Track,
MDD/TT912,Axle Counter Track,
MDD/TT890,Axle Counter Track,
MDD/TT874,Axle Counter Track,
MDD/TT854,Axle Counter Track,
MDD/TT842,Axle Counter Track,
MDD/T169,Axle Counter Track,
MDD/T168,Axle Counter Track,
MDD/T167,Axle Counter Track,
MDD/TT899,Axle Counter Track,
MDD/TT925,Axle Counter Track,
MDD/TT943,Axle Counter Track,
MDD/TT955,Axle Counter Track,
MDD/T148,Axle Counter Track,
MDD/T149,Axle Counter Track,
MDD/T150,Axle Counter Track,
MDD/T050,Axle Counter Track,
MDD/T053,Axle Counter Track,
MDD/T151,Axle Counter Track,
MDD/T153,Axle Counter Track,
MDD/T155,Axle Counter Track,
MDD/T154,Axle Counter Track,
MDD/T071,Axle Counter Track,
MDD/T158,Axle Counter Track,
MDD/T058,Axle Counter Track,
MDD/TT845,Axle Counter Track,
MDD/TT859,Axle Counter Track,
MDD/TT875,Axle Counter Track,
MDD/TT885,Axle Counter Track,
MDD/T070,Axle Counter Track,
MDD/T183,Axle Counter Track,
MDD/T187,Axle Counter Track,
MDD/T191,Axle Counter Track,
MDD/T195,Axle Counter Track,
MDD/T199,Axle Counter Track,
MDD/T182,Axle Counter Track,
MDD/T186,Axle Counter Track,
MDD/T190,Axle Counter Track,
MDD/T194,Axle Counter Track,
MDD/T198,Axle Counter Track,
MDD/T181,Axle Counter Track,
MDD/T185,Axle Counter Track,
MDD/T189,Axle Counter Track,
MDD/T193,Axle Counter Track,
MDD/T197,Axle Counter Track,
MDD/T180,Axle Counter Track,
MDD/T184,Axle Counter Track,
MDD/T188,Axle Counter Track,
MDD/T192,Axle Counter Track,
MDD/T196,Axle Counter Track,
