Indication Object ID,Control Object ID
WTL/P620,WTL/P620
WTL/P618,WTL/P618
DNG/P699,DNG/P699
DNG/P698,DNG/P698
CBE/P687,CBE/P687
PKM/P658,PKM/P658
PKM/P660,PKM/P660
PKM/P662,PKM/P662
