Conflict_ID,Route id,Exit_Signal,Point,Position,In Route,Conflict_Route_id,Exit_Signal,Point_Position,In_Route,Unless_Condition,Conflicted
FSB/R767A-FSB/R934A,FSB/R767A,FSB/S945,FSB/P855,reverse,TRUE,FSB/R934A,FSB/S936,normal,FALSE,unless_pseudo_normal,YES
FSB/R934A-FSB/R767A,FSB/R934A,FSB/S936,FSB/P855,normal,FALSE,FSB/R767A,FSB/S945,reverse,TRUE,unless_pseudo_normal,YES
FSB/R934A-FSB/R950A,FSB/R934A,FSB/S936,FSB/P855,normal,FALSE,FSB/R950A,FSB/S860,reverse,TRUE,unless_pseudo_normal,YES
FSB/R950A-FSB/R934A,FSB/R950A,FSB/S860,FSB/P855,reverse,TRUE,FSB/R934A,FSB/S936,normal,FALSE,unless_pseudo_normal,YES
FSD/R146A-FSA/R144B,FSD/R146A,FSD/S160,FSD/P055,normal,TRUE,FSA/R144B,FSD/S156,reverse,FALSE,unless_pseudo_reverse,YES
FSD/R146A-FSA/R154A,FSD/R146A,FSD/S160,FSD/P055,normal,TRUE,FSA/R154A,FSD/S156,reverse,FALSE,unless_pseudo_reverse,YES
FSD/R146B-FSA/R144B,FSD/R146B,FSD/S318,FSD/P046,reverse,TRUE,FSA/R144B,FSD/S156,normal,FALSE,unless_pseudo_normal,YES
FSD/R146B-FSA/R154A,FSD/R146B,FSD/S318,FSD/P046,reverse,TRUE,FSA/R154A,FSD/S156,normal,FALSE,unless_pseudo_normal,YES
FSD/R146B-FSA/R314A,FSD/R146B,FSD/S318,FSD/P215,reverse,TRUE,FSA/R314A,FSD/S316,normal,FALSE,unless_pseudo_normal,YES
FSD/R146B-FSD/R157A,FSD/R146B,FSD/S318,FSD/P046,reverse,TRUE,FSD/R157A,FSD/S155,normal,FALSE,unless_pseudo_normal,YES
FSD/R155B-FSA/R144B,FSD/R155B,FSD/S147,FSD/P055,normal,TRUE,FSA/R144B,FSD/S156,reverse,FALSE,unless_pseudo_reverse,YES
FSD/R155B-FSA/R154A,FSD/R155B,FSD/S147,FSD/P055,normal,TRUE,FSA/R154A,FSD/S156,reverse,FALSE,unless_pseudo_reverse,YES
FSD/R157A-FSD/R146B,FSD/R157A,FSD/S155,FSD/P046,normal,FALSE,FSD/R146B,FSD/S318,reverse,TRUE,unless_pseudo_normal,YES
FSD/R157A-FSD/R315B,FSD/R157A,FSD/S155,FSD/P046,normal,FALSE,FSD/R315B,FSD/S147,reverse,TRUE,unless_pseudo_normal,YES
FSD/R315B-FSA/R144B,FSD/R315B,FSD/S147,FSD/P046,reverse,TRUE,FSA/R144B,FSD/S156,normal,FALSE,unless_pseudo_normal,YES
FSD/R315B-FSA/R154A,FSD/R315B,FSD/S147,FSD/P046,reverse,TRUE,FSA/R154A,FSD/S156,normal,FALSE,unless_pseudo_normal,YES
FSD/R315B-FSA/R314A,FSD/R315B,FSD/S147,FSD/P215,reverse,TRUE,FSA/R314A,FSD/S316,normal,FALSE,unless_pseudo_normal,YES
FSD/R315B-FSD/R157A,FSD/R315B,FSD/S147,FSD/P046,reverse,TRUE,FSD/R157A,FSD/S155,normal,FALSE,unless_pseudo_normal,YES
